url,policy,min_source_score,require_independent_domains,min_overlap,claim_index,claim_text,baseline_verdict,baseline_conf,adjusted_verdict,adjusted_conf,distinct_base_domains,strong_domains,reason
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P3_very_strict,80,True,8,2,Emissions from food alone could use up all of our budget for 1.5°C or 2°C – but we have a range of opportunities to avoid this,NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P3_very_strict,80,True,8,3,"Many countries have decoupled economic growth from CO2 emissions, even if we take offshored production into account",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://www.bbc.com/news/articles/cd0ydjvxpejo,P0_loose,30,False,4,1,"Germany was sending an A400M transport plane to Nuuk on Thursday with a contingent of 13 soldiers, although officials said they would stay in Greenland only until Saturday.",NEI,0.56,SUPPORTED,0.72,3,"bbc.com,msn.com,arise.tv","Credible, independent sources show strong claim overlap."
https://www.bbc.com/news/articles/cd0ydjvxpejo,P0_loose,30,False,4,2,"The US already has a military base in Greenland, currently staffed by up to 150 people, and has the option of bringing in far greater numbers under existing agreements with Copenhagen.",NEI,0.56,SUPPORTED,0.72,3,"bbc.com,msn.com","Credible, independent sources show strong claim overlap."
https://www.bbc.com/news/articles/cd0ydjvxpejo,P0_loose,30,False,4,3,"Senior diplomat Olivier Poivre d'Arvor saw the mission as sending a strong political signal: ""This is a first exercise... we'll show the US that Nato is present.""",NEI,0.56,SUPPORTED,0.72,3,"aol.com,bbc.com,msn.com","Credible, independent sources show strong claim overlap."
https://www.bbc.com/news/articles/cd0ydjvxpejo,P1_default,50,True,6,1,"Germany was sending an A400M transport plane to Nuuk on Thursday with a contingent of 13 soldiers, although officials said they would stay in Greenland only until Saturday.",NEI,0.56,SUPPORTED,0.72,3,"bbc.com,arise.tv,ir-ia.com","Credible, independent sources show strong claim overlap."
https://www.bbc.com/news/articles/cd0ydjvxpejo,P1_default,50,True,6,2,"The US already has a military base in Greenland, currently staffed by up to 150 people, and has the option of bringing in far greater numbers under existing agreements with Copenhagen.",NEI,0.56,SUPPORTED,0.72,4,"bbc.com,msn.com","Credible, independent sources show strong claim overlap."
https://www.bbc.com/news/articles/cd0ydjvxpejo,P1_default,50,True,6,3,"Senior diplomat Olivier Poivre d'Arvor saw the mission as sending a strong political signal: ""This is a first exercise... we'll show the US that Nato is present.""",NEI,0.56,SUPPORTED,0.72,3,"aol.com,bbc.com,msn.com","Credible, independent sources show strong claim overlap."
https://www.bbc.com/news/articles/cd0ydjvxpejo,P2_strict,70,True,7,1,"Germany was sending an A400M transport plane to Nuuk on Thursday with a contingent of 13 soldiers, although officials said they would stay in Greenland only until Saturday.",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://www.bbc.com/news/articles/cd0ydjvxpejo,P2_strict,70,True,7,2,"The US already has a military base in Greenland, currently staffed by up to 150 people, and has the option of bringing in far greater numbers under existing agreements with Copenhagen.",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://www.bbc.com/news/articles/cd0ydjvxpejo,P2_strict,70,True,7,3,"Senior diplomat Olivier Poivre d'Arvor saw the mission as sending a strong political signal: ""This is a first exercise... we'll show the US that Nato is present.""",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://www.bbc.com/news/articles/cd0ydjvxpejo,P3_very_strict,80,True,8,1,"Germany was sending an A400M transport plane to Nuuk on Thursday with a contingent of 13 soldiers, although officials said they would stay in Greenland only until Saturday.",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://www.bbc.com/news/articles/cd0ydjvxpejo,P3_very_strict,80,True,8,2,"The US already has a military base in Greenland, currently staffed by up to 150 people, and has the option of bringing in far greater numbers under existing agreements with Copenhagen.",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
https://www.bbc.com/news/articles/cd0ydjvxpejo,P3_very_strict,80,True,8,3,"Senior diplomat Olivier Poivre d'Arvor saw the mission as sending a strong political signal: ""This is a first exercise... we'll show the US that Nato is present.""",NEI,0.56,NEI,0.56,0,,Not enough strong independent credible evidence after filtering.
